state_id,state_name,tag,multiplier_raw,multiplier_after_clamp_example
S_LAYOFF,失业中,job,1.6,1.55
S_LAYOFF,失业中,debt,1.35,1.35
S_LAYOFF,失业中,housing,1.0,1.0
S_LAYOFF,失业中,health,1.0,1.0
S_LAYOFF,失业中,social,0.95,0.95
S_LAYOFF,失业中,admin,1.0,1.0
S_LAYOFF,失业中,car,1.0,1.0
S_LAYOFF,失业中,money,0.9,0.9
S_RENT_ARREARS,房租欠缴,job,1.1,1.1
S_RENT_ARREARS,房租欠缴,debt,1.25,1.25
S_RENT_ARREARS,房租欠缴,housing,1.7,1.55
S_RENT_ARREARS,房租欠缴,health,1.0,1.0
S_RENT_ARREARS,房租欠缴,social,1.0,1.0
S_RENT_ARREARS,房租欠缴,admin,1.0,1.0
S_RENT_ARREARS,房租欠缴,car,1.0,1.0
S_RENT_ARREARS,房租欠缴,money,1.0,1.0
S_HIGH_INTEREST_LOAN,高利率借贷,job,1.0,1.0
S_HIGH_INTEREST_LOAN,高利率借贷,debt,1.55,1.55
S_HIGH_INTEREST_LOAN,高利率借贷,housing,1.0,1.0
S_HIGH_INTEREST_LOAN,高利率借贷,health,1.0,1.0
S_HIGH_INTEREST_LOAN,高利率借贷,social,1.0,1.0
S_HIGH_INTEREST_LOAN,高利率借贷,admin,1.0,1.0
S_HIGH_INTEREST_LOAN,高利率借贷,car,1.0,1.0
S_HIGH_INTEREST_LOAN,高利率借贷,money,0.85,0.85
S_CREDIT_CARD_DEBT,信用卡债务,job,1.0,1.0
S_CREDIT_CARD_DEBT,信用卡债务,debt,1.25,1.25
S_CREDIT_CARD_DEBT,信用卡债务,housing,1.0,1.0
S_CREDIT_CARD_DEBT,信用卡债务,health,1.0,1.0
S_CREDIT_CARD_DEBT,信用卡债务,social,1.0,1.0
S_CREDIT_CARD_DEBT,信用卡债务,admin,1.0,1.0
S_CREDIT_CARD_DEBT,信用卡债务,car,1.0,1.0
S_CREDIT_CARD_DEBT,信用卡债务,money,0.92,0.92
S_INJURED,受伤恢复期,job,0.95,0.95
S_INJURED,受伤恢复期,debt,1.0,1.0
S_INJURED,受伤恢复期,housing,1.0,1.0
S_INJURED,受伤恢复期,health,1.55,1.55
S_INJURED,受伤恢复期,social,1.0,1.0
S_INJURED,受伤恢复期,admin,1.0,1.0
S_INJURED,受伤恢复期,car,1.0,1.0
S_INJURED,受伤恢复期,money,1.0,1.0
S_HEALTH_SCARE,健康惊吓,job,1.0,1.0
S_HEALTH_SCARE,健康惊吓,debt,1.0,1.0
S_HEALTH_SCARE,健康惊吓,housing,1.0,1.0
S_HEALTH_SCARE,健康惊吓,health,1.35,1.35
S_HEALTH_SCARE,健康惊吓,social,1.0,1.0
S_HEALTH_SCARE,健康惊吓,admin,1.1,1.1
S_HEALTH_SCARE,健康惊吓,car,1.0,1.0
S_HEALTH_SCARE,健康惊吓,money,1.0,1.0
S_IMMIGRATION_ISSUE,身份文件问题,job,1.1,1.1
S_IMMIGRATION_ISSUE,身份文件问题,debt,1.0,1.0
S_IMMIGRATION_ISSUE,身份文件问题,housing,1.0,1.0
S_IMMIGRATION_ISSUE,身份文件问题,health,1.0,1.0
S_IMMIGRATION_ISSUE,身份文件问题,social,1.0,1.0
S_IMMIGRATION_ISSUE,身份文件问题,admin,1.55,1.55
S_IMMIGRATION_ISSUE,身份文件问题,car,1.0,1.0
S_IMMIGRATION_ISSUE,身份文件问题,money,1.0,1.0
S_CAR_BROKEN,车坏了,job,1.05,1.05
S_CAR_BROKEN,车坏了,debt,1.0,1.0
S_CAR_BROKEN,车坏了,housing,1.0,1.0
S_CAR_BROKEN,车坏了,health,1.0,1.0
S_CAR_BROKEN,车坏了,social,1.0,1.0
S_CAR_BROKEN,车坏了,admin,1.0,1.0
S_CAR_BROKEN,车坏了,car,1.8,1.55
S_CAR_BROKEN,车坏了,money,1.0,1.0
S_SOCIAL_ISOLATION,社交断联,job,1.0,1.0
S_SOCIAL_ISOLATION,社交断联,debt,1.0,1.0
S_SOCIAL_ISOLATION,社交断联,housing,1.0,1.0
S_SOCIAL_ISOLATION,社交断联,health,1.1,1.1
S_SOCIAL_ISOLATION,社交断联,social,1.45,1.45
S_SOCIAL_ISOLATION,社交断联,admin,1.0,1.0
S_SOCIAL_ISOLATION,社交断联,car,1.0,1.0
S_SOCIAL_ISOLATION,社交断联,money,1.0,1.0
S_WINDFALL_BUFFER,小额缓冲,job,1.0,1.0
S_WINDFALL_BUFFER,小额缓冲,debt,0.88,0.88
S_WINDFALL_BUFFER,小额缓冲,housing,0.92,0.92
S_WINDFALL_BUFFER,小额缓冲,health,1.0,1.0
S_WINDFALL_BUFFER,小额缓冲,social,1.0,1.0
S_WINDFALL_BUFFER,小额缓冲,admin,1.0,1.0
S_WINDFALL_BUFFER,小额缓冲,car,1.0,1.0
S_WINDFALL_BUFFER,小额缓冲,money,1.12,1.12
S_RENT_DUE,房租待缴,job,1.0,1.0
S_RENT_DUE,房租待缴,debt,1.0,1.0
S_RENT_DUE,房租待缴,housing,2.2,1.55
S_RENT_DUE,房租待缴,health,1.0,1.0
S_RENT_DUE,房租待缴,social,1.0,1.0
S_RENT_DUE,房租待缴,admin,1.0,1.0
S_RENT_DUE,房租待缴,car,1.0,1.0
S_RENT_DUE,房租待缴,money,1.0,1.0
S_TAX_DUE,税务待缴,job,1.0,1.0
S_TAX_DUE,税务待缴,debt,1.0,1.0
S_TAX_DUE,税务待缴,housing,1.0,1.0
S_TAX_DUE,税务待缴,health,1.0,1.0
S_TAX_DUE,税务待缴,social,1.0,1.0
S_TAX_DUE,税务待缴,admin,2.0,1.55
S_TAX_DUE,税务待缴,car,1.0,1.0
S_TAX_DUE,税务待缴,money,1.0,1.0
S_TRAFFIC_TICKET,交通罚单未缴,job,1.0,1.0
S_TRAFFIC_TICKET,交通罚单未缴,debt,1.0,1.0
S_TRAFFIC_TICKET,交通罚单未缴,housing,1.0,1.0
S_TRAFFIC_TICKET,交通罚单未缴,health,1.0,1.0
S_TRAFFIC_TICKET,交通罚单未缴,social,1.0,1.0
S_TRAFFIC_TICKET,交通罚单未缴,admin,1.15,1.15
S_TRAFFIC_TICKET,交通罚单未缴,car,1.6,1.55
S_TRAFFIC_TICKET,交通罚单未缴,money,1.0,1.0
S_COLLECTIONS_NOTICE,催收通知,job,1.0,1.0
S_COLLECTIONS_NOTICE,催收通知,debt,1.4,1.4
S_COLLECTIONS_NOTICE,催收通知,housing,1.0,1.0
S_COLLECTIONS_NOTICE,催收通知,health,1.0,1.0
S_COLLECTIONS_NOTICE,催收通知,social,1.0,1.0
S_COLLECTIONS_NOTICE,催收通知,admin,1.2,1.2
S_COLLECTIONS_NOTICE,催收通知,car,1.0,1.0
S_COLLECTIONS_NOTICE,催收通知,money,1.0,1.0
